building_number,lab,c_desktop,c_laptop,c_server,r_domestic,r_industrial,r_other,f_industrial,f_domestic,cv_0,cv_1,cv_2,cv_3,cv_4,delta_temperature,est_1,area_sm,direct_consumption,indirect_consumption
18,0,86,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.80095238095238,0,1792,25909.36,1631.0279828677317
18,0,86,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.021075268817203,0,1792,19466.09,2255.569283153181
18,0,86,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9639999999999986,0,1792,15055.7,3930.9850043407546
18,0,86,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.699139784946233,0,1792,17135.52,8203.516174349907
18,0,86,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.152444444444441,0,1792,17391.83,13403.740135770202
18,0,86,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.037419354838708,0,1792,18756.38,14978.1489235957
18,0,86,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.056344086021507,0,1792,18569.44,15811.166336543693
18,0,86,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.788666666666664,0,1792,16230.71,11848.774279208872
18,0,86,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0780645161290323,0,1792,16298.52,7962.037259265045
18,0,90,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0913333333333313,0,1792,16068.0,4447.665482754032
18,0,91,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.669677419354841,0,1792,20430.97,2771.51193334478
22,0,280,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.112043010752688,0,10061,96588.84,6928.762636811999
22,0,301,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.80095238095238,0,10061,86662.73,8614.582419737022
22,0,301,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.021075268817203,0,10061,88725.18,15711.349134173526
22,0,302,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9639999999999986,0,10061,74535.23,14100.583205096123
22,0,302,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.699139784946233,0,10061,97250.64,38769.964737528186
22,0,302,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.152444444444441,0,10061,100709.34,58714.03387367901
22,0,302,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.037419354838708,0,10061,106762.79,73362.23061594901
22,0,302,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.056344086021507,0,10061,77097.23,48608.05203723413
22,0,302,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.788666666666664,0,10061,88570.44,53645.57816658267
22,0,302,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0780645161290323,0,10061,93544.0,27310.9367080542
22,0,302,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0913333333333313,0,10061,115000.0,27913.68618290532
22,0,302,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.669677419354841,0,10061,97697.14,18757.00511996171
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.112043010752688,1,2405,14284.34,13.37476369640399
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.80095238095238,1,2405,11909.18,0.0
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.021075268817203,1,2405,12303.99,641.1470123284847
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9639999999999986,1,2405,10568.74,90.58859024928849
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.699139784946233,1,2405,12024.1,1697.2046253393155
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.152444444444441,1,2405,14670.56,3256.415845496321
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.037419354838708,1,2405,14752.14,3308.315151034204
