building_number,lab,labs_c_desktop,non_labs_c_desktop,c_server,wet_lab_instruments,labs_delta_temperature_area,non_labs_delta_temperature_area,delta_temperature,area_sm,direct_consumption,indirect_consumption
42,1,79,0,0.0,40.0,62593.54623655914,0.0,10.112043010752688,6190,80272.92,27810.086537738047
42,1,81,0,0.0,40.0,54477.89523809523,0.0,8.80095238095238,6190,85882.66,23797.06132980648
42,1,81,0,0.0,40.0,49650.45591397848,0.0,8.021075268817203,6190,89725.26,42251.53029672988
42,1,81,0,0.0,40.0,24537.159999999993,0.0,3.963999999999999,6190,67642.95,30263.427087060616
42,1,82,0,0.0,40.0,29087.675268817184,0.0,4.699139784946233,6190,70321.21,33513.39868506717
42,1,88,0,0.0,40.0,44273.63111111109,0.0,7.152444444444441,6190,74957.28,52557.87951092855
42,1,90,0,0.0,41.0,49751.6258064516,0.0,8.037419354838708,6190,81522.43,66553.79281576547
42,1,93,0,0.0,41.0,43678.76989247313,0.0,7.056344086021507,6190,74905.99,72152.38078932423
42,1,93,0,0.0,41.0,29641.84666666665,0.0,4.788666666666664,6190,70625.62,75169.81224896465
42,1,97,0,0.0,41.0,12863.21935483871,0.0,2.0780645161290323,6190,63828.3,50558.27303893184
42,1,97,0,0.0,41.0,12945.353333333323,0.0,2.0913333333333317,6190,67886.66,26739.475031264505
42,1,99,0,0.0,41.0,47475.30322580646,0.0,7.669677419354841,6190,79586.1,21735.752022056968
50,0,0,2,300.0,0.0,0.0,10445.740430107526,10.112043010752688,1033,109794.99,12537.609761356298
50,0,0,2,300.0,0.0,0.0,9091.383809523808,8.80095238095238,1033,97677.23,10156.30455251459
50,0,0,2,300.0,0.0,0.0,8285.770752688171,8.021075268817203,1033,104601.42,12246.847921076416
50,0,0,2,300.0,0.0,0.0,4094.811999999999,3.963999999999999,1033,98322.62,7785.517511635942
50,0,0,2,300.0,0.0,0.0,4854.211397849459,4.699139784946233,1033,105349.29,12032.044771178607
50,0,0,2,300.0,0.0,0.0,7388.475111111108,7.152444444444441,1033,103759.06,11794.351565981604
50,0,0,2,300.0,0.0,0.0,8302.654193548386,8.037419354838708,1033,104581.09,12404.360859117676
50,0,0,2,300.0,0.0,0.0,7289.203440860218,7.056344086021507,1033,107657.95,13995.20595219466
50,0,0,2,300.0,0.0,0.0,4946.692666666664,4.788666666666664,1033,109855.02,12195.290186759785
50,0,0,2,300.0,0.0,0.0,2146.64064516129,2.0780645161290323,1033,114574.96,14019.556184589575
50,0,0,2,300.0,0.0,0.0,2160.347333333332,2.0913333333333317,1033,114938.03,16477.435211446107
50,0,0,2,300.0,0.0,0.0,7922.77677419355,7.669677419354841,1033,122448.31,14437.097527715265
51,1,127,0,4.0,30.0,57891.44623655914,0.0,10.112043010752688,5725,181474.59,413.21799001564415
51,1,130,0,4.0,30.0,50385.452380952374,0.0,8.80095238095238,5725,159386.57,3339.7481565269577
51,1,131,0,4.0,30.0,45920.65591397849,0.0,8.021075268817203,5725,171453.72,11012.309486792296
51,1,131,0,4.0,30.0,22693.899999999994,0.0,3.963999999999999,5725,135518.6,16930.667158230175
51,1,135,0,4.0,30.0,26902.575268817185,0.0,4.699139784946233,5725,162256.26,38966.58105646737
51,1,135,0,4.0,30.0,40947.744444444426,0.0,7.152444444444441,5725,188376.33,57544.61344587621
51,1,136,0,4.0,30.0,46014.2258064516,0.0,8.037419354838708,5725,201845.12,68021.30103332597
