month_number,delta_temperature
1,10.112043010752688
2,8.80095238095238
3,8.021075268817203
4,3.9639999999999986
5,4.699139784946233
6,7.152444444444441
7,8.037419354838708
8,7.056344086021507
9,4.788666666666664
10,2.0780645161290323
11,2.0913333333333313
12,7.669677419354841
