אינוונטר,תאריך קבלה,סטטוס,שם סטטוס,תאריך עדכון אחרון,פריט,"מחיר כניסה בש""ח",מחיר כניסה בדולר,תיאור האינוונטר,הערות לשורה מההזמנה,מחלקה,שם מחלקה,הזמנה,סריאלי,מחיר ידני,קוד סימון,תז שואל,פטור מותנה,מנוהל תמיד,קמפוס,שם קמפוס,בניין,שם בניין,קומה,חדר,הערות לפריט אומנות
145316,12/07/2016,1,פעיל,12/07/2016,80000106,"2,799.81",871.94,"מקרר ביתי, 525 ליטר",מקררי שארפ  SJ2190 לבן. תוספת מקררים  ל- 28 מקררים . בהזמנה 4286795,5807,מעונות סטודנטים,4287534,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145317,12/07/2016,1,פעיל,12/07/2016,80000106,"2,799.81",871.94,"מקרר ביתי, 525 ליטר",מקררי שארפ  SJ2190 לבן. תוספת מקררים  ל- 28 מקררים . בהזמנה 4286795,5807,מעונות סטודנטים,4287534,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145318,12/07/2016,1,פעיל,12/07/2016,80000106,"2,799.81",871.94,"מקרר ביתי, 525 ליטר",מקררי שארפ  SJ2190 לבן. תוספת מקררים  ל- 28 מקררים . בהזמנה 4286795,5807,מעונות סטודנטים,4287534,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145319,12/07/2016,1,פעיל,12/07/2016,80000106,"2,799.81",871.94,"מקרר ביתי, 525 ליטר",מקררי שארפ  SJ2190 לבן. תוספת מקררים  ל- 28 מקררים . בהזמנה 4286795,5807,מעונות סטודנטים,4287534,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145320,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145321,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145322,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145323,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145324,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145325,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145326,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145327,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145328,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145329,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
