אינוונטר,תאריך קבלה,סטטוס,שם סטטוס,תאריך עדכון אחרון,פריט,"מחיר כניסה בש""ח",מחיר כניסה בדולר,תיאור האינוונטר,הערות לשורה מההזמנה,מחלקה,שם מחלקה,הזמנה,סריאלי,מחיר ידני,קוד סימון,תז שואל,פטור מותנה,מנוהל תמיד,קמפוס,שם קמפוס,בניין,שם בניין,קומה,חדר,הערות לפריט אומנות
57490,01/08/1993,1,פעיל,25/02/2015,80000109,"72,017.60","22,463.38",R.M. PHOTONICS .REFRIGERATOR AMNIS CCS 200 Special,R.M. PHOTONICS .REFRIGERATOR AMNIS CCS 200,5105,פיסיקה,9200675,5731,72017.6,,,כן,,,,95,בנין מעבדות למחקרים מתקדמים)מט''מ) - 95,,,
142060,10/08/2015,1,פעיל,12/11/2015,10001313,"67,585.36","17,591.19","Innova 42R Refrigerated Incubator Shaker, 230 V",כולל האביזרים המפורטים בהצעת המחיר. = כולל שנתיים אחריות =. ,5910,מיקרוביולוגיה - מדעי הבריאות,4275418,,,,,,,5,קמפוס מרקוס,41,"בניין המכון הלאומי לביוטכנולוגיה בנגב, ע""ש אדגר דה-פיצ'וטו - 41",1,102,
53510,15/10/1991,1,פעיל,25/02/2015,10004496,"46,001.24","14,348.49",LAVANT-DU PONT .CENTRIFUGE-REFRIGERATING,LAVANT-DU PONT .CENTRIFUGE-REFRIGERATING,5901,דיקן הפקולטה למדעי הבריאות,2152,761002,46001.242,,,כן,לא,,,,,,,
129225,04/03/2012,1,פעיל,12/11/2015,80000109,"44,371.00","13,839.99",INCUBATOR REFRIGERATED MAX-Q 6000,INCUBATOR REFRIGERATED MAX-Q 6000,5104,מדעי החיים,4226194,113942140,44371,,,,לא,,,,,,-122,
142059,10/08/2015,1,פעיל,12/11/2015,10001313,"43,222.55","13,481.77","Innova 42R Refrigerated Incubator Shaker, 230 V","220 V, 50 Hz  .Shelf. Overall Dimensions: 62(W) x 76(D) x 92(H) cm.  .uniformity of 0.25C. Single Adjustable-Height, Stationary  .is 4C. Temperature Stability:  0.1C, with nominal  .Range:  20C below above ambient to 80C. Min. Setpoint  .400 RPM. Shaking Stroke: 3/4 (1.9 cm).  Temperature  . Up to 4 Flasks of 4 liter. Shaking Speed:  25 to  .unlimited continuous operation. CFC-free. Capacity:  .Refrigerated  With heavy-duty drive mechanism for  .Cat. No. M1335-0006 Model Innova 42R Incubator Shaker, ",5513,ביוטכנולוגיה,5048050,SI42EL802321,,,,לא,לא,5,קמפוס מרקוס,41,"בניין המכון הלאומי לביוטכנולוגיה בנגב, ע""ש אדגר דה-פיצ'וטו - 41",3,322,
126741,02/08/2011,1,פעיל,12/11/2015,80000109,"41,485.00","12,939.80",REFRIGERATOR    ,REFRIGERATOR    ,6204,מנהלת קרית שדה בוקר,4217712,1004-1552-0411,41485,,,,לא,,,,,,0,
152552,18/06/2018,1,פעיל,20/08/2018,10003601,"40,163.42","12,527.58",Microcentrifuge 5418 R (Refrigeated,"tubes Adapters f/15ml Falcon tube, 4pcstotal 36 tubes  .Buckets Adapters f/50ml Falcon tube, 4pcs, total 16  .Swing Bucket Rotor 4x250ml and 4x250ml Rectancular  . Refrigerated Centrifuge 5810R w/Rotor&Adapter Include ",5306,פסיכולוגיה,5077175,5424GL976081,,,,לא,לא,5,קמפוס מרקוס,96,96 בניין קרול ומרקוס ויינשטיין להנדסת מערכות תכנה ומידע ולאבטחת סייבר,4,423,
153242,17/09/2018,1,פעיל,23/10/2018,10000010,"39,407.72","12,291.86",Refrigerated Centrifuge RC-5C Plus,Refrigerated Centrifuge 5810R,5901,דיקן הפקולטה למדעי הבריאות,4318929,5811HH083926,,,,לא,לא,1,מדעי הבריאות סורוקה,M2,"בי""ח סורוקה (בנין פתולוגיה) - M2",3,312,
61786,10/09/1995,1,פעיל,07/01/2015,10004568,"37,440.00","11,678.10",REFRIGERAT. SERVICE FOGEL .OVEN CONTROLL TEMP.&HUMIDITY Special,REFRIGERAT. SERVICE FOGEL .OVEN CONTROLL TEMP.&HUMIDITY  ,6204,מנהלת קרית שדה בוקר,9421682,,37440,,,,לא,,,,,,,
100791,03/04/2006,1,פעיל,07/01/2015,80000109,"36,545.02","11,398.95",LABOTAL LTD .INCUBATOR REFRIGERATED   ,LABOTAL LTD .INCUBATOR REFRIGERATED   ,5106,כימיה,4085727,,36545.018,,,,לא,,,,,,,
