,January-15,February-15,March-15,April-15,May-15,June-15,July-15,August-15,September-15,October-15,November-15,December-15,January-16,February-16,March-16,April-16,May-16,June-16,July-16,August-16,September-16,October-16,November-16,December-16,January-17,February-17,March-17,April-17,May-17,June-17,July-17,August-17,September-17,October-17,November-17,December-17,January-18,February-18,March-18,April-18,May-18,June-18,July-18,August-18,September-18,October-18,November-18,December-18,January-19,February-19,March-19,April-19,May-19,June-19,July-19,August-19,September-19,October-19,November-19,December-19,January-20,February-20,March-20,April-20,May-20,June-20,July-20,August-20,September-20,October-20,November-20,December-20
Building 63,"59,932.96","50,318.80","52,127.17","46,545.61","49,423.77","52,724.49","54,747.66","55,833.47","49,667.86","51,125.14","45,197.01","47,628.94","49,112.90","43,483.11","47,365.21","44,258.44","52,358.64","59,254.34","64,273.45","68,492.30","69,463.77","59,540.00","57,472.20","54,297.25","53,823.20","52,863.21","66,805.03","58,460.97","66,331.98","68,192.81","71,373.17","76,360.41","67,932.97","64,658.98","48,000.00","59,972.97","63,279.94","56,090.44","57,553.03","52,729.19","59,303.12","61,018.45","70,612.40","77,815.37","57,094.27","63,544.00","51,779.00","54,195.00","46,787.00","46,365.00","48,338.00","41,250.00","47,815.00","47,464.00","50,004.00","77,252.00","68,040.00","65,833.00","44,822.00","51,537.00","53,777.00","48,197.00","50,177.00","39,392.00","43,862.00","43,023.00","46,283.00","45,218.00","68,000.00","44,275.00","47,742.62","45,170.14"
Building 64,"15,206.02","11,507.81","14,505.69","15,816.59","20,928.58","23,082.33","22,310.18","24,382.54","20,972.70","21,712.80","22,073.68","29,042.39","31,409.99","28,506.96","29,542.63","27,211.97","33,379.85","32,291.61","33,450.19","33,842.29","33,199.37","30,384.37","30,667.08","35,379.39","37,066.92","32,600.98","33,468.33","29,931.68","33,663.93","33,301.47","36,648.90","35,503.60","32,020.66","29,463.99","32,177.52","34,972.62","33,516.60","31,753.43","34,977.70","32,644.51","35,830.78","34,681.11","37,336.31","37,296.42","30,537.27","34,491.49","35,291.85","37,798.65","38,169.32","34,549.57","40,109.96","33,379.28","37,505.13","29,185.09","49,897.41","44,783.87","41,380.44","39,240.88","43,379.41","47,826.59","45,386.84","39,493.79","37,528.77","37,804.05","43,196.70","46,078.77","48,225.08","48,985.47","47,964.49","49,498.61","49,365.23","47,801.36"
Building 65,"14,046.86","12,460.01","10,268.19","8,810.44","12,775.58","14,445.52","17,059.12","17,277.99","13,202.39","12,452.10","9,544.82","13,695.70","14,974.01","12,111.28","9,659.26","8,407.73","13,577.34","18,123.04","18,031.82","17,756.13","17,056.30","8,260.58","8,672.62","10,734.81","12,731.45","10,608.36","8,716.92","6,875.91","13,000.00","13,709.46","14,511.96","12,615.09","10,277.13","7,435.93","8,228.16","5,500.14","42,849.12","27,307.52","24,821.36","21,030.39","12,086.54","17,416.76","18,982.18","18,745.32","12,711.61","8,174.52","9,774.65","10,657.00","11,572.00","9,863.00","11,597.00","11,654.00","11,568.00","17,995.13","19,896.74","13,092.35","13,020.17","10,687.00","10,563.00","10,323.00","11,758.00","13,521.00","8,654.00","7,893.14","5,536.19","7,496.00","8,975.41","8,985.45","7,469.06","4,805.00","9,976.70","9,805.72"
Building 70,"148,134.00","191,558.00","116,520.88","97,500.37","227,138.09","241,302.08","231,447.98","222,073.30","200,317.10","211,593.63","227,727.19","238,177.90","239,342.24","215,619.34","191,610.39","203,947.39","211,588.09","231,072.90","243,648.70","231,814.96","224,051.69","182,315.15","224,775.45","236,879.67","267,106.93","224,137.55","238,647.28","192,503.51","218,807.78","234,558.73","248,778.87","229,894.91","197,482.75","196,857.21","218,072.38","220,390.28","237,956.85","200,723.65","210,074.53","186,776.29","230,276.01","221,747.84","246,675.87","172,848.16","234,663.19","232,020.83","215,075.13","222,233.45","233,120.13","195,840.44","212,507.96","178,449.35","215,694.29","216,864.21","221,734.76","193,427.55","188,106.28","190,369.18","218,081.53","254,822.94","249,255.88","208,522.36","146,861.44","80,548.63","126,923.65","169,808.73","179,228.00","180,781.80","153,167.95","140,000.00","160,000.00","190,083.12"
Building 71,"113,787.45","92,728.19","101,698.58","84,030.21","99,444.18","99,775.88","93,982.11","90,958.32","77,505.17","85,687.11","91,528.97","101,326.29","111,464.02","103,332.42","83,659.26","79,366.00","103,677.54","97,710.49","96,660.87","91,136.35","92,746.90","68,955.58","94,281.45","107,311.73","118,547.92","100,794.77","96,817.15","79,918.60","100,645.56","99,129.44","100,210.34","88,470.40","80,319.53","48,283.03","120,078.95","93,994.57","116,595.32","91,144.02","84,935.18","74,998.25","93,126.74","89,165.30","94,935.73","75,212.15","70,388.66","88,824.00","89,484.07","100,189.58","107,945.88","86,543.20","90,561.58","74,736.58","90,220.35","88,779.41","97,015.03","80,408.51","82,363.18","69,070.18","79,346.31","108,854.24","120,489.44","98,006.82","74,908.29","48,142.20","71,294.71","80,834.77","83,428.17","78,884.38","67,084.03","50,416.39","75,012.83","78,947.36"
Building 72,"147,393.34","137,683.75","144,542.16","109,321.26","146,849.47","151,882.34","147,418.59","135,185.76","117,429.40","128,424.47","145,359.49","153,093.35","154,375.90","140,002.38","141,488.90","123,639.26","154,151.95","161,206.45","154,891.30","146,396.25","139,868.66","108,315.82","140,337.47","151,073.49","163,074.14","138,792.89","147,009.26","121,171.54","157,806.32","157,540.57","164,409.60","157,832.07","134,062.66","110,197.78","152,375.34","147,188.22","154,506.51","127,252.93","131,595.82","110,876.93","144,647.45","142,606.86","150,462.24","134,199.32","119,802.62","145,274.99","134,463.94","142,816.05","151,299.96","133,586.89","142,657.08","125,562.74","142,915.00","144,685.70","149,038.90","123,563.26","123,779.50","112,374.50","126,403.52","144,331.84","150,617.94","134,410.03","95,247.10","60,390.06","89,308.44","99,040.92","104,126.83","113,080.47","108,484.77","93,019.36","89,055.46","79,720.14"
Entrance Gate,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,176.41","7,972.17","4,379.49","6,139.81","7,060.53","6,314.80","5,585.28","4,368.44","5,944.16","7,412.15","9,436.29","11,898.75","8,810.36","7,348.20","5,279.46","5,027.67","8,664.75","7,084.45","5,938.50","4,316.41","6,341.43","6,643.88","8,040.37","6,919.87","8,062.50","6,538.20","4,286.22","4,858.14"
Building 74,"56,864.64","48,851.98","52,865.70","46,109.75","57,573.41","60,880.93","60,952.75","55,745.45","48,485.22","55,421.48","56,010.59","57,218.09","55,571.32","49,415.96","49,872.44","43,469.02","55,678.67","57,391.86","59,399.44","52,509.25","54,922.29","43,797.46","55,397.55","55,141.43","59,235.23","58,652.72","58,168.51","49,805.32","57,483.60","52,386.35","56,804.05","55,000.00","54,594.17","50,663.85","59,964.37","60,443.94","64,453.77","54,887.33","61,636.28","55,278.20","69,989.28","68,369.88","68,932.18","63,235.28","50,944.90","40,526.55","49,518.41","53,303.47","57,074.41","45,343.53","61,550.85","43,362.13","53,600.88","56,308.25","56,510.99","47,472.06","47,148.67","40,383.17","44,277.24","49,489.85","54,917.93","47,572.19","34,801.03","19,090.84","30,368.11","38,452.68","40,867.96","43,160.39","37,633.33","28,545.76","35,343.67","35,784.35"
Building 90,"94,662.54","87,277.53","67,066.34","58,494.20","88,539.97","96,513.74","97,159.89","76,752.55","59,107.90","60,138.61","85,170.41","91,760.97","97,547.42","75,310.18","81,289.66","68,494.85","96,643.55","98,012.92","103,576.50","85,093.71","71,162.21","53,900.64","89,927.27","107,575.44","104,714.54","86,888.53","82,041.73","74,399.84","99,020.57","101,974.63","100,063.39","77,477.44","58,697.33","65,960.36","78,529.54","76,548.55","76,390.62","49,208.95","66,954.39","60,799.61","84,886.50","89,687.41","83,130.43","63,341.81","46,322.22","63,467.46","70,242.62","84,570.86","88,198.40","66,716.61","64,739.16","79,615.91","82,628.53","80,378.02","77,376.60","62,407.85","61,056.21","41,817.55","50,478.65","60,836.28","74,792.11","57,519.07","34,605.16","21,516.68","27,835.17","43,930.80","43,525.68","41,711.27","37,470.01","30,266.89","28,715.04","30,502.32"
Building 92,"9,439.48","8,082.77","9,199.43","7,371.35","8,934.12","11,453.34","10,522.93","9,044.73","6,547.12","7,332.39","11,998.12","14,645.12","11,316.64","9,291.63","8,542.56","6,491.83","10,663.36","10,360.51","9,881.97","8,508.54","8,014.35","5,439.40","11,289.39","11,502.07","11,005.78","8,864.19","8,658.39","7,700.58","10,285.47","9,490.16","8,736.82","6,778.27","7,233.72","6,902.64","11,007.16","11,433.11","11,536.78","8,890.73","10,105.02","8,359.74","10,609.40","10,087.12","8,816.58","7,607.64","6,195.27","9,363.90","11,420.63","11,560.61","11,164.48","7,616.26","10,398.25","11,727.74","7,582.47","6,439.63","6,108.51","14,536.59","13,863.30","12,774.96","17,670.46","19,238.27","18,736.04","15,319.72","10,305.21","4,409.16","5,824.45","8,049.12","6,422.82","6,013.47","6,180.73","5,046.06","5,123.05","7,585.06"
