,January-15,February-15,March-15,April-15,May-15,June-15,July-15,August-15,September-15,October-15,November-15,December-15,January-16,February-16,March-16,April-16,May-16,June-16,July-16,August-16,September-16,October-16,November-16,December-16,January-17,February-17,March-17,April-17,May-17,June-17,July-17,August-17,September-17,October-17,November-17,December-17,January-18,February-18,March-18,April-18,May-18,June-18,July-18,August-18,September-18,October-18,November-18,December-18,January-19,February-19,March-19,April-19,May-19,June-19,July-19,August-19,September-19,October-19,November-19,December-19,January-20,February-20,March-20,April-20,May-20,June-20,July-20,August-20,September-20,October-20,November-20,December-20
Electricity Company Counter,"3,354,488.80","3,030,597.60","3,241,502.30","3,034,376.80","3,883,110.90","4,065,047.60","4,434,543.80","4,690,761.00","4,053,599.19","3,903,177.42","3,539,500.00","3,510,177.40","3,445,540.00","3,196,490.50","3,292,367.00","3,226,024.50","3,822,070.50","4,260,933.00","4,607,485.00","4,448,433.50","4,065,365.50","3,251,455.00","3,405,779.00","3,430,355.00","3,626,306.50","3,208,575.00","3,505,659.50","3,239,641.50","4,018,215.00","4,441,878.50","5,007,129.00","4,875,123.50","4,176,939.00","3,590,878.50","3,439,565.50","3,426,506.00","3,557,478.00","3,129,743.00","3,373,342.50","3,206,203.50","4,065,136.50","4,303,577.50","4,764,724.50","4,601,894.00","3,797,049.50","4,058,220.52","3,458,595.50","3,486,577.00","3,549,980.50","3,145,473.50","3,457,133.50","3,048,124.50","3,857,757.50","4,516,239.00","4,896,729.00","4,605,829.50","4,310,188.50","3,661,294.50","3,501,474.00","3,677,010.00","3,733,662.34","3,402,911.16","3,044,460.94","2,470,572.16","3,344,375.64","3,691,921.18","4,328,643.14","4,456,943.98","4,287,362.44","3,753,988.22","3,243,847.00","3,194,604.56"
Building 14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"19,442.02","19,321.73","15,904.75","11,806.51","14,543.88","15,891.91","23,492.34","19,301.28","16,487.18","14,697.42","16,170.48","20,810.06","25,952.96","24,141.94","19,194.46","13,677.54","17,702.63","18,799.58","19,552.23","17,281.99","13,251.50","15,974.04","15,058.30","19,510.34","32,322.67","20,597.35","19,120.75","12,793.32","15,889.49","19,220.65","21,234.02","15,783.52","16,713.58","13,395.52","15,324.38","18,731.01","21,346.58","18,317.78","12,132.83","7,308.02","11,366.84","13,582.40","13,594.38","13,306.80","12,334.07","10,899.14","8,913.22","10,216.24"
Building 15-16,"76,159.75","73,075.27","74,557.07","69,575.98","77,537.07","79,975.29","78,243.42","70,314.84","64,041.67","53,654.00","70,964.03","66,072.11","78,345.00","106,225.18","79,563.12","67,148.20","74,772.29","75,372.79","73,530.57","68,010.61","65,365.85","58,248.78","71,316.12","74,938.32","79,334.66","68,668.28","69,541.81","59,597.69","70,818.71","72,572.08","73,746.99","72,094.32","66,696.94","66,406.45","72,001.80","76,639.44","82,812.99","72,721.28","74,877.44","71,604.08","81,380.29","80,127.66","80,964.67","74,981.75","69,768.22","77,318.18","76,293.60","81,918.65","80,986.07","68,354.88","79,253.44","71,262.98","78,553.85","80,835.15","78,680.25","74,845.36","74,679.36","72,665.16","75,472.21","84,106.24","84,428.05","72,613.89","56,865.91","41,954.40","56,673.32","60,357.77","56,887.93","64,589.00","68,955.00","61,578.00","63,558.00","58,956.93"
Building 17,"21,957.92","18,028.98","15,149.43","11,945.39","12,618.82","14,247.49","14,256.78","12,867.08","11,489.58","12,519.92","11,864.02","15,405.43","16,967.56","15,692.17","14,008.20","11,988.75","13,516.96","13,433.53","13,329.65","11,626.67","12,350.81","11,203.27","13,734.67","18,250.90","19,525.31","17,215.48","17,108.65","13,157.98","14,934.39","13,571.73","13,220.69","12,000.00","12,789.88","9,230.97","10,647.12","11,827.01","16,272.08","13,779.67","14,547.47","11,773.78","12,022.90","10,155.42","10,657.50","10,286.50","10,189.44","10,313.26","10,743.95","13,159.73","17,116.72","13,160.29","14,924.58","12,083.06","10,763.36","9,963.47","10,674.28","9,750.88","10,825.56","9,763.25","10,313.20","14,048.81","15,075.77","12,487.45","8,015.50","4,239.81","9,064.81","9,694.54","9,478.95","9,161.28","8,544.02","8,701.60","8,534.39","9,705.37"
Building 18,"21,782.05","17,671.29","17,120.29","14,665.17","19,949.65","19,481.16","17,474.01","16,441.46","15,931.28","17,923.87","19,040.25","19,952.29","22,787.02","19,078.92","19,471.39","15,607.42","18,868.86","19,269.22","18,303.41","18,131.30","18,112.39","14,324.72","19,791.60","20,858.45","22,545.04","19,120.67","20,359.79","16,608.06","21,140.01","21,411.49","21,194.47","18,133.69","18,581.54","19,131.07","21,776.28","24,448.23","27,394.09","19,517.38","19,566.95","17,290.93","21,233.14","20,877.07","19,840.03","18,410.72","16,270.22","20,049.09","23,312.39","26,734.16","34,066.53","25,909.36","19,466.09","15,055.70","17,135.52","17,391.83","18,756.38","18,569.44","16,230.71","16,298.52","16,068.00","20,430.97","29,965.05","22,239.80","12,466.28","6,382.53","13,140.51","15,736.39","15,494.02","15,187.64","14,304.80","12,376.80","13,100.75","14,605.35"
Building 22,"96,120.52","90,718.93","38,409.86","39,974.09","37,609.14","31,630.15","103,385.36","100,701.26","77,789.97","104,667.50","118,398.60","121,195.72","115,248.70","106,045.09","106,700.10","95,520.76","112,520.59","118,853.72","126,107.60","96,934.90","100,968.68","75,002.41","106,690.02","102,678.93","115,803.62","110,260.97","108,950.07","91,071.53","108,813.69","116,053.38","124,244.12","96,162.45","87,552.00","80,117.54","103,031.95","103,394.47","112,677.18","98,684.74","96,289.44","82,684.76","108,212.62","113,817.29","122,601.23","93,652.84","72,327.85","113,715.80","118,752.54","109,815.58","96,588.84","86,662.73","88,725.18","74,535.23","97,250.64","100,709.34","106,762.79","77,097.23","88,570.44","93,544.00","115,000.00","97,697.14","90,948.81","82,801.07","57,805.84","24,640.20","65,340.03","72,707.87","83,257.36","86,117.21","72,422.59","72,737.35","63,616.19","69,856.64"
Building 25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,132.00","9,087.00","10,442.30","12,199.60","10,791.79","9,233.06","10,895.26","11,671.87","11,297.88","12,750.76","11,783.57","13,049.54","10,713.80","12,994.61","11,388.92","13,698.23","11,570.39","8,552.95","12,435.14","12,096.93","14,146.67","14,284.34","11,909.18","12,303.99","10,568.74","12,024.10","14,670.56","14,752.14","12,468.55","11,566.03","11,800.86","12,432.62","14,084.10","15,333.14","12,984.22","9,450.04","6,097.06","9,807.70","9,987.90","10,408.86","10,623.00","9,677.35","9,007.57","9,223.62","9,104.62"
Building 26,"25,037.24","30,398.28","16,105.61","14,264.45","18,378.34","18,984.96","21,162.31","19,244.00","14,404.12","15,704.90","18,124.23","18,458.99","17,640.43","16,979.39","16,153.74","14,142.53","17,044.32","24,379.00","20,540.99","18,670.84","15,636.02","17,536.00","16,936.00","33,777.88","35,903.07","29,881.49","24,269.14","23,168.04","26,194.56","27,818.96","32,848.97","27,936.86","21,964.93","24,521.93","26,529.32","30,575.90","34,966.64","26,194.59","28,184.60","24,995.11","28,743.60","29,459.30","29,123.72","29,812.30","25,990.46","30,573.97","30,543.41","34,462.81","37,323.34","31,400.99","30,622.81","23,948.81","28,444.66","26,581.00","29,383.33","27,856.74","25,817.91","25,477.89","28,014.99","31,236.10","33,786.55","32,202.65","23,891.90","19,096.35","19,951.06","26,050.47","27,051.44","25,168.88","27,280.89","25,847.98","24,384.14","24,547.33"
Building 28,"24,523.74","20,384.14","16,094.36","10,610.29","16,518.46","19,006.24","21,113.47","20,141.01","18,478.00","20,808.32","20,323.22","17,738.21","19,934.00","11,980.32","17,884.71","12,155.53","15,712.58","18,416.00","17,324.09","15,832.73","15,366.00","12,141.00","21,869.19","18,811.74","19,841.76","17,229.32","16,850.08","14,349.28","14,442.11","19,860.84","22,586.53","19,742.74","14,571.85","15,066.19","20,646.25","21,140.80","21,721.65","19,376.70","20,536.39","17,924.84","20,955.64","19,897.00","17,669.07","18,906.12","10,099.86","14,090.29","20,004.82","19,580.52","19,830.62","17,332.84","18,593.42","17,016.74","15,507.43","14,721.80","27,656.55","16,064.41","16,182.90","15,106.50","17,523.56","18,811.90","19,148.99","17,025.87","14,493.09","7,171.07","9,044.47","9,314.28","11,191.48","10,672.46","9,725.92","12,000.00","7,853.70","10,779.21"
Building 29,"81,857.80","72,343.28","82,954.01","79,239.92","87,664.92","86,926.99","88,240.18","87,621.81","77,839.87","78,641.96","81,971.47","80,412.16","80,142.88","72,968.79","79,437.33","72,146.40","81,012.26","83,579.00","85,272.00","79,406.71","76,701.60","75,709.00","74,337.00","90,914.52","88,955.17","83,707.19","89,444.48","78,621.36","84,048.67","89,583.19","89,042.97","89,398.89","85,671.16","82,361.93","82,549.76","88,821.38","92,328.19","80,740.19","87,017.36","81,733.86","85,976.75","83,882.76","87,119.34","85,716.74","71,933.10","88,258.44","84,680.44","87,789.73","85,861.55","78,447.22","86,993.88","77,298.03","89,654.63","87,487.21","101,537.37","79,497.73","76,146.17","73,374.82","77,281.70","83,243.98","81,750.27","75,036.53","71,500.56","61,515.44","71,541.62","80,574.04","76,480.19","74,384.12","75,057.86","73,658.60","75,892.72","78,434.90"
Building 30,"20,977.99","19,237.23","20,345.79","11,461.91","15,265.94","14,816.21","26,141.40","24,469.65","22,374.29","14,457.99","23,048.90","22,749.89","23,359.86","22,651.96","23,109.48","19,266.41","24,999.94","31,339.00","24,240.80","27,765.77","24,208.62","17,941.55","24,771.25","25,020.88","25,140.84","22,533.35","24,203.34","21,094.26","26,982.95","28,387.65","30,624.19","24,763.43","22,778.72","21,588.90","25,023.56","25,164.38","22,439.81","35,822.54","24,629.85","20,974.27","27,952.30","26,639.81","26,330.88","21,351.99","17,073.50","23,557.05","22,468.81","22,079.79","21,694.04","34,745.32","19,937.21","18,405.76","22,144.84","23,414.20","33,746.64","23,875.65","21,629.83","14,303.69","20,628.38","22,228.98","20,808.43","18,026.89","12,611.83","9,682.02","11,220.04","10,713.23","12,904.86","10,444.61","10,683.61","11,041.33","5,192.50","9,151.36"
Building 32,"28,607.31","24,420.40","26,280.00","22,464.28","23,762.65","24,214.16","24,897.33","22,960.05","19,797.23","23,411.96","27,754.83","30,014.60","21,320.54","18,318.78","19,288.02","15,809.51","18,957.33","28,306.00","22,365.02","18,956.08","17,935.68","14,941.31","25,986.14","19,214.00","19,110.85","16,545.43","17,421.92","14,651.85","18,566.67","18,797.56","20,977.63","17,954.41","15,332.87","13,605.99","17,072.48","17,430.01","16,403.80","24,986.24","17,131.70","15,018.68","17,941.45","17,406.71","17,566.54","17,327.99","13,131.62","15,367.85","15,232.92","16,030.54","16,940.93","13,906.08","14,223.88","13,857.62","11,281.10","10,002.99","28,613.14","15,246.85","15,196.68","12,098.45","15,582.44","17,614.61","17,181.18","15,702.87","13,680.66","11,558.96","14,471.78","14,738.27","14,192.09","12,658.01","12,193.05","11,460.54","12,265.70","12,774.63"
Building 33,"64,547.90","55,936.87","52,793.14","47,815.65","56,332.31","59,818.06","57,945.84","59,360.10","52,097.03","54,372.86","58,765.51","62,288.64","64,928.27","50,219.14","58,466.46","48,432.30","60,139.30","70,259.00","55,678.62","59,695.52","54,937.30","44,831.60","57,635.41","64,672.45","71,313.40","54,706.63","53,937.61","50,762.32","52,043.15","71,344.01","42,610.06","66,634.08","69,081.19","77,888.42","83,852.12","80,777.63","75,951.46","50,000.00","90,578.83","89,388.90","96,339.64","95,496.77","103,553.09","97,112.14","89,450.43","86,258.08","87,788.09","85,788.84","91,019.02","80,655.13","86,751.38","78,857.63","72,229.08","70,786.04","109,292.01","91,346.83","91,676.17","85,431.57","92,692.95","99,644.07","100,854.30","85,791.72","77,247.00","63,935.65","79,220.88","80,837.23","86,150.63","86,423.78","64,458.85","84,019.02","87,829.38","83,900.24"
Building 34,"61,659.02","56,117.37","58,468.33","53,679.70","61,909.15","64,321.61","65,049.87","59,741.43","52,687.14","51,891.90","37,491.82","62,860.89","53,099.24","60,959.91","60,295.46","52,313.92","61,881.13","43,406.09","64,133.62","59,216.27","55,479.98","50,543.97","40,612.26","58,304.80","48,105.13","62,437.20","64,543.66","47,378.00","52,693.22","59,826.72","61,267.65","43,750.22","26,876.55","36,967.70","56,325.66","57,006.18","52,212.48","72,684.07","52,797.34","46,709.80","57,428.82","57,159.45","57,262.42","46,051.36","37,275.06","48,452.64","50,626.66","51,386.39","55,471.47","44,192.84","47,068.89","42,774.90","38,005.99","54,620.34","64,508.41","44,212.56","46,155.86","39,947.61","47,225.71","49,964.84","55,335.45","48,201.39","33,386.85","21,966.26","30,613.13","40,486.62","41,913.27","44,276.58","38,414.55","35,966.50","34,786.08","36,621.40"
Building 35,"62,793.99","54,415.58","45,366.00","50,094.60","58,079.85","60,429.13","63,209.42","55,276.32","45,625.00","53,177.87","60,239.65","67,727.85","64,116.57","63,113.38","61,814.79","51,136.04","66,332.62","70,089.08","70,053.32","59,852.43","56,107.92","45,661.40","59,921.54","62,175.76","65,882.31","57,640.84","61,692.10","52,352.83","62,237.31","64,161.88","66,580.13","57,924.59","45,059.39","44,281.76","58,143.32","59,148.11","62,518.14","51,975.19","55,664.49","50,857.56","59,066.04","54,865.43","56,488.14","45,049.12","35,120.56","50,012.26","51,879.31","54,127.36","56,217.33","46,986.77","50,310.17","43,121.99","52,671.07","55,279.63","58,741.15","43,991.54","45,132.37","30,103.55","50,000.00","55,000.00","54,241.06","48,391.77","29,223.76","12,223.01","27,347.91","33,559.52","33,262.36","30,369.80","26,183.59","24,142.92","22,774.11","25,356.21"
Building 37,"154,889.66","129,380.76","147,036.35","141,244.33","136,690.88","140,396.04","151,554.11","147,486.63","136,471.92","147,611.94","160,673.69","160,612.08","161,378.30","139,718.77","154,140.06","138,071.59","138,561.76","139,081.87","140,219.52","144,280.21","129,670.65","121,926.21","134,371.77","146,555.83","149,367.01","130,961.15","150,146.99","122,705.80","131,900.59","131,008.73","136,788.62","137,195.71","132,294.85","123,500.06","105,488.00","140,000.00","146,939.92","130,000.00","150,000.00","108,431.27","126,892.77","128,987.29","136,676.38","139,052.29","129,784.89","135,568.46","133,367.01","137,497.88","135,595.06","123,789.73","133,732.12","116,187.89","139,473.42","133,848.56","147,883.47","137,096.25","136,582.00","135,481.00","130,983.00","153,504.00","132,321.43","143,160.13","123,061.74","89,544.95","125,373.52","123,713.96","123,307.55","134,550.99","130,721.26","131,308.82","135,236.12","138,719.41"
Building 38,"16,392.99","12,839.51","12,798.74","8,786.98","25,780.39","16,401.06","16,208.25","15,289.94","13,504.82","14,908.81","17,050.73","18,193.71","17,028.27","13,744.52","14,620.60","13,945.60","15,994.15","13,712.45","13,010.81","12,141.65","11,723.55","11,208.35","15,220.44","15,940.08","18,827.35","14,726.62","15,624.51","14,269.63","16,396.97","15,182.85","14,494.31","13,657.68","12,865.53","13,872.69","15,978.97","16,490.23","15,821.13","13,514.09","15,522.70","15,009.16","17,924.08","16,228.37","15,561.37","13,923.55","11,854.45","14,356.57","16,149.16","17,059.17","15,582.61","12,980.78","15,105.73","13,368.03","15,204.89","13,891.09","13,903.07","12,097.18","12,202.62","12,847.45","14,312.59","14,860.42","15,305.06","12,717.99","11,808.76","10,279.21","11,537.55","11,679.72","12,102.77","12,156.62","11,284.94","12,548.20","15,084.21","14,559.92"
Building 39,"138,875.32","118,836.37","126,337.33","115,244.37","118,416.93","116,710.98","115,955.07","118,480.42","115,577.58","124,850.31","128,989.98","143,526.81","140,114.15","129,313.72","135,888.49","126,084.87","102,810.32","94,444.81","121,297.59","109,007.97","113,000.00","107,812.49","122,825.13","141,056.44","136,727.60","105,332.61","144,228.79","123,183.36","121,273.00","123,281.24","125,022.87","126,832.97","121,103.53","113,883.16","112,346.27","120,679.83","124,298.33","112,915.13","115,828.72","108,660.36","114,370.32","106,570.72","111,105.99","111,479.32","101,653.95","107,926.92","104,621.28","114,192.29","119,101.69","106,997.79","116,192.20","104,062.81","104,837.86","92,303.46","107,483.53","110,382.81","107,589.25","108,008.82","103,905.58","112,033.15","135,701.00","116,698.00","131,778.42","100,223.16","107,872.74","110,873.36","115,988.24","117,015.89","112,241.33","113,492.75","110,696.75","122,145.21"
Building 40,"93,014.65","85,992.97","82,496.12","75,956.81","79,174.05","76,042.15","76,600.37","84,114.63","82,275.71","88,408.73","84,160.32","100,210.09","107,229.86","88,780.89","92,026.80","76,260.48","78,961.37","83,528.75","84,640.63","92,003.47","83,610.24","65,598.46","88,843.31","85,595.66","116,710.40","82,583.16","94,786.44","80,232.33","82,964.00","81,166.12","88,418.83","88,838.17","78,431.80","72,030.49","79,447.46","81,106.45","90,350.81","78,379.07","83,651.95","76,978.96","79,997.83","78,124.05","80,063.67","82,642.27","74,245.84","78,647.97","79,932.80","90,288.63","93,124.06","75,878.92","81,513.72","75,871.12","79,655.33","78,427.85","87,168.33","86,828.03","84,543.39","77,693.81","82,908.64","96,510.94","102,457.42","91,777.79","87,970.01","82,443.41","86,156.61","84,858.72","85,716.01","85,824.33","78,622.41","84,462.61","89,550.12","98,617.21"
Building 41,0.00,"15,000.00","33,961.65","119,022.90","130,073.21","126,164.23","129,515.94","169,661.25","158,678.03","167,630.53","147,048.89","163,355.49","166,655.35","155,688.84","161,362.93","145,978.55","153,353.36","146,472.63","150,677.22","145,289.17","142,753.80","134,628.10","134,816.87","158,706.21","163,723.77","140,229.35","159,712.09","156,483.03","167,713.48","170,606.21","171,607.23","171,879.45","166,819.81","165,029.17","167,927.44","161,837.94","166,966.77","141,703.50","166,891.09","164,933.95","156,097.98","151,515.15","151,974.83","156,335.37","167,309.88","152,687.00","151,397.00","155,229.70","163,417.63","141,544.24","159,604.99","143,574.29","126,286.34","147,389.00","151,364.00","150,398.59","143,880.16","142,621.52","148,972.00","152,027.00","154,208.15","140,986.34","141,598.07","139,341.00","156,204.00","154,042.00","161,021.00","156,514.27","144,775.94","155,377.52","125,905.39","163,417.00"
Building 42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,969.00","13,179.00",0.00,"17,079.00","21,723.00","26,276.00","35,156.00","59,511.00","66,633.00","63,442.00","76,011.00","73,253.00","82,514.00","87,689.00","93,035.65","103,525.13","97,798.89","100,702.20","100,000.00","70,737.66","67,328.63","71,173.74","67,738.48","56,402.38","67,239.79","66,236.42","70,386.74","80,272.92","85,882.66","89,725.26","67,642.95","70,321.21","74,957.28","81,522.43","74,905.99","70,625.62","63,828.30","67,886.66","79,586.10","83,673.45","77,110.17","68,277.55","55,281.30","65,816.09","70,213.92","74,212.84","74,157.07","70,870.43","73,398.82","74,101.36","79,873.39"
Building 43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"130,223.00"
