T.R,January-18,February-18,March-18,April-18,May-18,June-18,July-18,August-18,September-18,October-18,November-18,December-18,January-19,February-19,March-19,April-19,May-19,June-19,July-19,August-19,September-19,October-19,November-19,December-19,January-20,February-20,March-20,April-20,May-20,June-20,July-20,August-20,September-20,October-20,November-20,December-20
Building 55,11834.85,3230.25,7286.21,6693.34,16991.66,22161.27,31528.55,32406.38,20918.08,18660.98,5408.68,5061.54,10504.38,6041.06,7453.71,5155.73,15189.09,24673.78,31458.38,28035.7,25850.46,18337.73,7905.37,8963.84,0,3173.45,3514.18,0,8699.09,10666.81,30677.7,29402.17,30890.65,22215.17,6847.94,1326.84
Building 56,3024.46,825.51,1862.03,1710.52,4342.31,5663.44,8057.3,8281.63,5345.73,4768.92,1382.22,1293.51,2684.45,1543.83,1904.84,1317.58,3881.66,6305.52,8039.37,7164.68,6606.23,4686.31,2020.26,2290.76,0,810.99,898.07,0,2223.1,2725.96,7839.86,7513.89,7894.28,5677.21,1750.03,339.08
Building 57,5057.63,1380.45,3113.76,2860.4,7261.39,9470.63,13473.74,13848.88,8939.35,7974.78,2311.4,2163.05,4489.05,2581.65,3185.35,2203.3,6491.06,10544.35,13443.75,11981.07,11047.21,7836.64,3378.36,3830.7,0,1356.17,1501.79,0,3717.56,4558.46,13110.13,12565.03,13201.13,9493.66,2926.47,567.03
Building 58,8596.89,12508.45,12902.88,33600.16,48134.87,63980.5,82202.54,83546.64,68585.19,60434.59,30311.23,13680.57,6263.08,5633.13,7668.67,35213.49,44619.88,74394.64,86028.73,78043.37,60537.9,47053.36,27332.17,10669.27,9079.04,8633.13,9869.14,13138.45,24838.75,25109.77,61343.51,75632.28,61032.17,59504.67,20661.3,3158.94
Building 59,0.05,0,1479.41,8669.1,13338.95,17653.67,24001.14,32304.05,20348.33,14307.08,5386.96,0,0,0,0,9706.36,13239.03,23884.78,32418.88,30437.86,22454.16,11996.14,5790.49,295.17,0,0.72,0.06,37.7,9796.02,10294.08,24574.87,30614.87,24139.18,21367.99,6788.21,0
Building 60,5563.39,1518.5,3425.14,3146.44,7987.53,10417.69,14821.11,15233.77,9833.29,8772.26,2542.54,2379.36,4937.96,2839.82,3503.88,2423.63,7140.17,11598.78,14788.13,13179.18,12151.93,8620.3,3716.2,4213.77,0,1491.79,1651.97,0,4089.32,5014.31,14421.14,13821.54,14521.25,10443.03,3219.12,623.73
Building 62,6173.26,4639.79,10115.69,32603.23,28263.59,35058.77,46621.29,60215.08,44821.77,33262.99,12844.4,10899.79,8491.01,7980.15,8557.19,34326.89,27448.47,43336.65,52284.35,53191.37,45254.45,35517.13,17681.29,12157.57,10565.96,10683.49,10059.01,10467.05,22148.6,22962.51,57719.38,67177.07,47768.45,52505.54,13906.15,3587.57
Building 63,12154.33,17976.29,20934.92,21203.74,45969.04,53290.35,75997.83,88794.31,67072.78,58164.44,20342.55,21029.74,18059.88,19992.5,25762.75,26622.81,47456.47,67748.06,96539.76,96558.39,70224.8,57531.4,19837.8,31230,29371.7,28700.45,25050.4,106324.6,38583.94,39755.36,106807.3,116630.4,76090.99,76653.82,36106.16,10557.67
Building 64,6845.07,9504.5,8141.11,17518.77,19996.83,29348.93,34761.77,36074.21,27540.23,22804.35,12820.23,10709.93,7927.66,12368.62,12701.05,14489.15,22721,36924.47,40111.53,46339.34,31659.74,26128.06,14339.55,7700.32,15728.82,15368.62,9822.96,9196.12,12732.81,12728.01,32390.66,37906.82,38280.54,38323.21,19757.34,6027.44
Building 65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 70,12577.66,15115.26,15210.21,16632.81,49127.38,58458.22,73013.33,73576.15,53897.2,44439.39,15218.24,7328.11,12465.22,15530.16,12588.64,10964.74,39212.18,63421.74,74781.34,65425.61,51056.5,39278.37,15870.04,6951.89,12706.79,5841.95,3460.51,824.68,22737.54,26878.2,69042.2,73734.76,45426.64,25574.92,7663.17,578.9
Building 71,1465.67,6368.78,4717.38,5082.03,20464.27,26672.79,30563,27584.94,17115.72,16184.76,5519.26,1985.12,1806.53,6669.94,4789.65,3338.13,15603.26,24003.47,30082.65,25351.09,24566.2,14979.19,6655.31,2658.71,1410.49,422.24,1452.93,2026.04,8705.84,11595.91,32410.15,31492.94,26331.59,14559.54,5399.75,342.51
Building 72,9835.48,4947.51,13179.71,23751.1,43437.9,51366.56,61814.91,54443.7,50760.94,42645.21,24743.07,16862.25,14467.82,13821.29,17031.72,19502.28,38149.47,52135.92,56144.86,60509.14,56953.58,25951.06,26364.94,14051.44,12761.49,22813.82,12962.82,20508.14,14943.97,16329.77,63719.95,50741.85,45189.39,42589.98,29266.1,5912.63
