building_number,c_desktop,c_laptop,c_server
14,13,2.0,0.0
15,208,37.0,10.0
16,471,42.0,12.0
17,94,21.0,0.0
18,86,7.0,0.0
22,280,5.0,9.0
26,10,1.0,0.0
29,109,36.0,0.0
30,363,44.0,3.0
32,10,1.0,3.0
33,959,82.0,32.0
34,301,17.0,1.0
35,291,1.0,0.0
37,781,105.0,129.0
38,46,4.0,0.0
39,265,19.0,4.0
40,181,13.0,0.0
41,197,33.0,3.0
42,79,4.0,0.0
43,15,0.0,0.0
50,2,8.0,300.0
51,127,32.0,4.0
54,364,55.0,0.0
55,389,69.0,12.0
56,64,5.0,0.0
57,62,0.0,0.0
58,330,66.0,2.0
59,372,28.0,1.0
60,11,0.0,0.0
62,222,2.0,44.0
63,198,26.0,5.0
64,99,8.0,7.0
65,1,0.0,0.0
67,29,0.0,0.0
70,279,4.0,0.0
71,153,16.0,1.0
72,1032,167.0,19.0
74,330,72.0,0.0
90,92,7.0,0.0
93,186,14.0,16.0
93A,69,3.0,0.0
95,52,0.0,0.0
96,48,7.0,0.0
97,43,9.0,2.0
98,225,35.0,2.0
