,January-15,February-15,March-15,April-15,May-15,June-15,July-15,August-15,September-15,October-15,November-15,December-15,January-16,February-16,March-16,April-16,May-16,June-16,July-16,August-16,September-16,October-16,November-16,December-16,January-17,February-17,March-17,April-17,May-17,June-17,July-17,August-17,September-17,October-17,November-17,December-17,January-18,February-18,March-18,April-18,May-18,June-18,July-18,August-18,September-18,October-18,November-18,December-18,January-19,February-19,March-19,April-19,May-19,June-19,July-19,August-19,September-19,October-19,November-19,December-19,January-20,February-20,March-20,April-20,May-20,June-20,July-20,August-20,September-20,October-20,November-20,December-20
Building 42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12969,13179,0,17079,21723,26276,35156,59511,66633,63442,76011,73253,82514,87689,93035.65,103525.13,97798.89,100702.2,100000,70737.66,67328.63,71173.74,67738.48,56402.38,67239.79,66236.42,70386.74,80272.92,85882.66,89725.26,67642.95,70321.21,74957.28,81522.43,74905.99,70625.62,63828.3,67886.66,79586.1,83673.45,77110.17,68277.55,55281.3,65816.09,70213.92,74212.84,74157.07,70870.43,73398.82,74101.36,79873.39
Building 43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130223
Building 50,116186.48,99998.25,110332.71,107416.45,110801.35,109801.92,112077.51,109688.85,110007.67,106327.32,112228.91,119828.88,108146.6,111158.95,111573.83,106629.8,114049.85,119650.91,116744.41,107384.27,99830.06,107408.74,101608.92,109470.58,116884.17,101955.36,110082.19,110500.93,113578.29,105829.07,107308.39,110575.72,108831.03,109985.11,109299.47,117568.84,116505.92,102306.46,105501.83,102444.1,108092.29,106528.39,110196.4,107241.55,96090.96,102721.77,102480.79,108230.4,109794.99,97677.23,104601.42,98322.62,105349.29,103759.06,104581.09,107657.95,109855.02,114574.96,114938.03,122448.31,130458.16,117557.43,121915.8,123418,120814.89,115020.37,122766.08,125348.47,117943.19,127692.33,117479.34,123856.35
Building 51,169758.98,148659.42,155605.06,149348.89,154295.14,172669.84,183862.26,179967.78,168639.22,168755.04,148988.37,160115.19,165456.39,144074.49,156294.53,139545.94,153934.14,164553.98,194287.33,193232.73,189448.9,155513.2,147854.6,162408.15,178131.53,163355.29,170697.68,154149.87,166254.84,184370.05,189326.97,188545.14,186491.36,177306.46,171989.93,162828.27,173195.05,148272.88,156768.79,165582.45,176493.44,185872.54,203215.11,205214.11,189666.48,182779.1,176160.63,173116.62,181474.59,159386.57,171453.72,135518.6,162256.26,188376.33,201845.12,196203.98,191203.73,170700.03,157719.49,170865.64,178592.29,162933.69,160267.62,157881.78,164730.31,179408.05,192947.6,203359.07,198745.95,191443.99,176085.84,177507.08
Building 54,121390.84,111928.45,124141.73,125424.42,129252.84,152248.83,135520.13,166229.25,126831.56,144597.34,115373,114044.14,111744.67,107497.33,109199.57,107165.32,112494.52,119893.71,171107.64,152848.4,161322.15,133323.15,123121.13,119358.26,119448.65,114100.05,129979.85,78503.98,55896.77,74981.15,77292.37,100274,83793.29,69585.34,66908.49,63911.78,67314.13,63895.27,66413.7,76462.01,49308.24,47847.58,59920.22,59892.03,50100.21,52105.97,53305.35,53715.32,54440.36,46521.39,56799.66,46754.45,51854.99,81749.26,89388.53,94225.34,70238.21,70646.43,101914.42,107100.62,143379.97,126626.12,112371.74,118717.45,162771.84,165546.48,182168.81,184766.55,171888.6,199158.91,131702.14,115378.53
Building 55,29212.44,24507.48,26598.66,22866.98,26540.87,28695.36,27840.47,24886.29,21724.39,25426.42,21314.73,20956.47,20430.5,26158.27,29184.28,25064.67,28626.83,28733.4,27634.73,27458.6,25904.13,22518.75,27519.64,28290.79,30717.66,27938.92,28371.1,26484.17,29541.38,28726.99,29802.12,26308.76,23772.34,24330.54,28508.36,28266.95,28797.91,24035.21,25601.79,23885.73,27357.2,24615.52,26170.31,23276.21,19407.52,24967.44,25983.41,27806.26,27707.78,24173.64,26365.43,23513.8,26510.76,26047.35,26904.76,24064.07,22576.61,21404.29,26708.03,28380.51,29257.67,26528.45,23582.71,18412.71,23624.45,23716.53,24436.72,22823.7,21068.04,22479.68,23786.35,23560.96
Building 56,17544.72,15822.33,12511.46,12784.07,14692.71,16321.23,15710.72,14915.71,14013.34,15871.58,16497.84,17522.5,17311.28,15119.91,13687.46,11983.9,12785.31,12009.56,15012.19,14756.68,15857.87,13230.44,16087,16734.15,16865.98,15351.35,17265.8,14787.31,16519.86,16275.68,16546.43,15781.34,15975,16935.74,17154.24,16976.99,17693.93,15196.09,16232.2,14144.63,16599.86,15749.43,17316.88,16167.26,13685.37,16975.71,15257.35,15773.33,16581.58,14453.63,15636.86,14913.79,16806.9,16464.76,17113.23,15534.17,16765.42,14827.18,15969.44,16508.48,16002.76,15400.27,14211.48,8914.13,13067.29,15602.89,14014.19,13788.73,14083.77,13106.11,13474.55,13916.58
Building 57,16093.1,14235,17817.17,14845.07,15921.48,16525.06,17619.17,19114.2,17057.34,17768.75,19137.08,19829.44,19644.93,18679.8,21309.5,19566.17,20016.53,19264.88,18527.29,19243.47,19286.25,16439.06,16199.52,16675.49,18605.7,15378.38,16453.85,15505.14,17679.77,18336.97,17461.94,17636.49,18010.88,15217.93,16577.89,16597.95,17761.26,14657.59,17568.95,16598.85,19137.18,17664.69,18380.2,18302.36,16870.49,16873.12,17008.82,18088.71,20922.03,12009.94,18638.38,17200.26,18904.72,18671.6,18617.22,17505.26,16314.01,16077.89,16819.85,21366.72,16305.73,14733.07,17137.41,15873.12,15234.84,16227.2,16907.78,16402.26,16214.15,16896.39,16596.06,16961.3
Building 58,48636.81,41079.5,42779.45,38194.06,43216.47,42991.37,44373.53,44647.02,41415.01,41727.51,44720.31,51699.83,51112.15,44924.8,42830.15,42614.22,47122.84,37125.37,35097.1,32477.48,30432.23,28665.15,55358,57911.58,62845.96,53219.17,57038.81,52168.12,57694.44,55669.03,58941.29,54501.13,51554.01,49480.16,54287.61,56304.92,60052,45860.57,54380.43,49131.3,53842.96,52706.81,52138.15,50259.79,47752.91,56636.41,57856.85,59734.21,62827.02,53938.73,58667.76,50539.17,54644.11,57196.37,58344.69,53258.79,52663.6,51233.22,53044.78,59089.34,60211.8,51180.89,46586.26,38133.93,45770.24,47219.84,49075.01,52594.01,53416.47,55595.3,51318.67,53984.57
Building 59,64048.09,52784.43,57177.02,55266.02,58933.9,58258.75,58330.97,62137.86,54715.95,59989.62,59227.19,59603.53,60712.15,54602.48,58644.24,50953.52,55311.1,57670.36,56344.73,56751.76,57945.17,51259.47,57777.66,61595.67,62953.92,52320.26,57453.66,48025.53,53078.47,55222.19,55897.68,56923.77,54942.94,45649.91,54515.06,59456.47,56430.86,48741.03,48943.71,45591.36,56238.95,55031.74,56642.55,53734.06,36620.81,52362,51567,55595,54230,48944,49606,40851,48259,50644,53419,53697,51264,53566,50261,52990,50207,45708,40888,35409,44791,45661,48203,48438,51000,52690,52520.33,54557.71
